source,zip_file,image_id,width,height,total_masks,major_category,sub_category
Kaggle,/Kaggle_stage1_train_test/stage1_train_fix_v4_external.zip,af576e8ec3a8d0b57eb6a311299e9e4fd2047970d3dd9d6f52e54ea6a91109da,320,256,2,Histology,IHC
Kaggle,/Kaggle_stage1_train_test/stage1_train_fix_v4_external.zip,bf4a61bb81589c9a67e3343408befd3e135af5e88b50c17f998f2131d24bc271,320,256,3,Histology,IHC
Kaggle,/Kaggle_stage1_train_test/stage1_train_fix_v4_external.zip,8e507d58f4c27cd2a82bee79fe27b069befd62a46fdaed20970a95a2ba819c7b,320,256,6,Histology,IHC
Kaggle,/Kaggle_stage1_train_test/stage1_train_fix_v4_external.zip,01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf,320,256,7,Histology,IHC
Kaggle,/Kaggle_stage1_train_test/stage1_train_fix_v4_external.zip,589f86dee5b480a88dd4f77eeaffe2c4d70aefdf879a4096dde1fa4d41055b8f,320,256,8,Histology,IHC
Kaggle,/Kaggle_stage1_train_test/stage1_train_fix_v4_external.zip,b909aa8f6f4bec37c3fb6ff5a85d166162d07983506fcc57be742b0f9dbafbf7,320,256,9,Histology,IHC
Kaggle,/Kaggle_stage1_train_test/stage1_train_fix_v4_external.zip,f4b7c24baf69b8752c49d0eb5db4b7b5e1524945d48e54925bff401d5658045d,320,256,9,Histology,IHC
Kaggle,/Kaggle_stage1_train_test/stage1_train_fix_v4_external.zip,57bd029b19c1b382bef9db3ac14f13ea85e36a6053b92e46caedee95c05847ab,320,256,9,Histology,HE
Kaggle,/Kaggle_stage1_train_test/stage1_train_fix_v4_external.zip,92f31f591929a30e4309ab75185c96ff4314ce0a7ead2ed2c2171897ad1da0c7,320,256,10,Histology,IHC
Kaggle,/Kaggle_stage1_train_test/stage1_train_fix_v4_external.zip,6b0ac2ab04c09dced54058ec504a4947f8ecd5727dfca7e0b3f69de71d0d31c7,320,256,10,Histology,IHC
Kaggle,/Kaggle_stage1_train_test/stage1_train_fix_v4_external.zip,1e488c42eb1a54a3e8412b1f12cde530f950f238d71078f2ede6a85a02168e1f,320,256,10,Histology,IHC
Kaggle,/Kaggle_stage1_train_test/stage1_train_fix_v4_external.zip,a7f767ca9770b160f234780e172aeb35a50830ba10dc49c526f4712451abe1d2,320,256,11,Histology,IHC
Kaggle,/Kaggle_stage1_train_test/stage1_train_fix_v4_external.zip,4193474b2f1c72f735b13633b219d9cabdd43c21d9c2bb4dfc4809f104ba4c06,320,256,12,Histology,HE
